"data";"valor"
"01/01/1995";"3985,1"
"01/02/1995";"3829,0"
"01/03/1995";"4734,7"
"01/04/1995";"4358,6"
"01/05/1995";"5299,2"
"01/06/1995";"5206,7"
"01/07/1995";"4877,7"
"01/08/1995";"5643,7"
"01/09/1995";"5065,4"
"01/10/1995";"5364,0"
"01/11/1995";"5052,5"
"01/12/1995";"5129,3"
"01/01/1996";"4670,5"
"01/02/1996";"4370,9"
"01/03/1996";"4370,8"
"01/04/1996";"5526,3"
"01/05/1996";"5349,0"
"01/06/1996";"4976,8"
"01/07/1996";"5496,5"
"01/08/1996";"5490,7"
"01/09/1996";"5033,9"
"01/10/1996";"5352,8"
"01/11/1996";"4892,2"
"01/12/1996";"5039,8"
"01/01/1997";"4870,3"
"01/02/1997";"4130,8"
"01/03/1997";"4813,0"
"01/04/1997";"5813,8"
"01/05/1997";"5669,0"
"01/06/1997";"6169,0"
"01/07/1997";"6466,4"
"01/08/1997";"6199,2"
"01/09/1997";"5691,2"
"01/10/1997";"5940,2"
"01/11/1997";"5035,3"
"01/12/1997";"5754,4"
"01/01/1998";"5014,3"
"01/02/1998";"4764,9"
"01/03/1998";"5632,3"
"01/04/1998";"5759,3"
"01/05/1998";"5665,1"
"01/06/1998";"6067,1"
"01/07/1998";"6281,7"
"01/08/1998";"5215,3"
"01/09/1998";"5604,4"
"01/10/1998";"5083,9"
"01/11/1998";"4836,7"
"01/12/1998";"5075,5"
"01/01/1999";"3912,0"
"01/02/1999";"4250,5"
"01/03/1999";"4874,5"
"01/04/1999";"4565,8"
"01/05/1999";"5217,6"
"01/06/1999";"5401,3"
"01/07/1999";"4951,3"
"01/08/1999";"5109,0"
"01/09/1999";"5550,5"
"01/10/1999";"5863,9"
"01/11/1999";"5101,4"
"01/12/1999";"5968,4"
"01/01/2000";"4833,5"
"01/02/2000";"5294,0"
"01/03/2000";"5547,5"
"01/04/2000";"5153,4"
"01/05/2000";"6139,4"
"01/06/2000";"5985,4"
"01/07/2000";"6237,6"
"01/08/2000";"6616,4"
