"data";"valor"
"01/01/1995";"-873,7"
"01/02/1995";"-1527,2"
"01/03/1995";"-1614,6"
"01/04/1995";"-1164,4"
"01/05/1995";"-1354,0"
"01/06/1995";"-1518,2"
"01/07/1995";"-794,3"
"01/08/1995";"-646,7"
"01/09/1995";"-230,4"
"01/10/1995";"-416,6"
"01/11/1995";"-722,0"
"01/12/1995";"-725,6"
"01/01/1996";"-673,4"
"01/02/1996";"-562,8"
"01/03/1996";"-965,3"
"01/04/1996";"-434,1"
"01/05/1996";"-561,6"
"01/06/1996";"-1124,8"
"01/07/1996";"-1515,6"
"01/08/1996";"-1035,8"
"01/09/1996";"-1416,9"
"01/10/1996";"-2156,1"
"01/11/1996";"-1689,2"
"01/12/1996";"-2779,5"
"01/01/1997";"273,7"
"01/02/1997";"-1935,8"
"01/03/1997";"-1641,7"
"01/04/1997";"-1858,6"
"01/05/1997";"-1002,2"
"01/06/1997";"-1634,7"
"01/07/1997";"-1936,4"
"01/08/1997";"-1316,8"
"01/09/1997";"-1905,5"
"01/10/1997";"-2074,5"
"01/11/1997";"-2229,3"
"01/12/1997";"-2118,8"
"01/01/1998";"-1650,7"
"01/02/1998";"-1005,5"
"01/03/1998";"-1860,6"
"01/04/1998";"-967,0"
"01/05/1998";"-1027,4"
"01/06/1998";"-742,7"
"01/07/1998";"-1603,9"
"01/08/1998";"-1108,4"
"01/09/1998";"-2501,5"
"01/10/1998";"-2714,9"
"01/11/1998";"-1860,6"
"01/12/1998";"-1567,4"
"01/01/1999";"-1434,3"
"01/02/1999";"-272,8"
"01/03/1999";"-732,7"
"01/04/1999";"-658,3"
"01/05/1999";"-345,3"
"01/06/1999";"-1110,4"
"01/07/1999";"-682,3"
"01/08/1999";"-952,3"
"01/09/1999";"-848,4"
"01/10/1999";"-891,4"
"01/11/1999";"-1301,3"
"01/12/1999";"-762,3"
"01/01/2000";"-667,2"
"01/02/2000";"-473,3"
"01/03/2000";"-780,9"
"01/04/2000";"-540,9"
"01/05/2000";"-456,7"
"01/06/2000";"-605,7"
"01/07/2000";"-827,7"
"01/08/2000";"-851,9"
"01/09/2000";"-705,6"
"01/10/2000";"-1578,7"
"01/11/2000";"-1723,0"
"01/12/2000";"-1359,1"
"01/01/2001";"-1305,4"
"01/02/2001";"-632,0"
"01/03/2001";"-1143,2"
"01/04/2001";"-517,5"
"01/05/2001";"-814,2"
"01/06/2001";"-802,3"
"01/07/2001";"-894,0"
"01/08/2001";"-151,2"
"01/09/2001";"-66,8"
